央视,#genre#
江西卫视,JXTV1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000202.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000202?AuthInfo=xxx&userid=
海南卫视,TCTC1&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000190.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000190?AuthInfo=xxx&userid=
海南卫视,TCTC1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000385.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000385?AuthInfo=xxx&userid=
东南卫视,FJTV2&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000379.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000379?AuthInfo=xxx&userid=
东南卫视,FJTV2&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000195.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000195?AuthInfo=xxx&userid=
吉林卫视,JILIN1&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000187.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000187?AuthInfo=xxx&userid=
吉林卫视,JILIN1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000390.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000390?AuthInfo=xxx&userid=
陕西卫视,SHXITV1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000189.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000189?AuthInfo=xxx&userid=
云南卫视,YNTV1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000208.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000208?AuthInfo=xxx&userid=
河南卫视,HNTV1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000192.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000192?AuthInfo=xxx&userid=
广西卫视,GUANXI1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000191.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000191?AuthInfo=xxx&userid=
宁夏卫视,NXTV2&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000194.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000194?AuthInfo=xxx&userid=
甘肃卫视,GSTV1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000184.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000184?AuthInfo=xxx&userid=
